"postcode","mainarchetype"
"1094NV","MFH_2015"
"1094PW"," MFH_75_91"
"1094SH"," MFH_75_91"
"1094SC"," MFH_75_91"
"1094VA","MFH_75_91"
"1094PS","MFH_75_91"
"1094NS"," MFH_1964"
"1094BT"," MFH_75_91"
"1094NA","MFH_75_91"
"1094RS","MFH_75_91"
"1094SZ","MFH_75_91"
"1094RZ","MFH_75_91"
"1094RD"," MFH_75_91"
"1094PT","MFH_06_14"
"1094RA","MFH_75_91"
"1094PR","MFH_75_91"
"1094SL"," MFH_75_91"
"1094RV"," MFH_75_91"
"1094SJ","MFH_75_91"
"1094SR"," MFH_1964"
"1094SW"," MFH_75_91"
"1094RC","MFH_75_91"
"1094RW","MFH_75_91"
"1094NL","MFH_75_91"
"1094LT","MFH_75_91"
"1094ET","Others_1964"
"1094CA","MFH_1964"
"1094BV"," MFH_92_05"
"1094SB","MFH_75_91"
"1094NR"," MFH_1964"
"1094SG"," MFH_75_91"
"1094GA","MFH_75_91"
"1094NK","Others_06_14"
"1094NP","MFH_2015"
"1094NN"," MFH_1964"
"1094MG","MFH_75_91"
"1094ME"," MFH_75_91"
"1094LW"," MFH_75_91"
"1094RE"," MFH_75_91"
"1094RH","MFH_75_91"
"1094RR","MFH_1964"
"1094NB","MFH_06_14"
"1094PP","MFH_75_91"
"1094SN"," MFH_1964"
"1094ST"," MFH_1964"
"1094TV"," MFH_75_91"
"1094RB"," MFH_75_91"
"1094RN"," MFH_92_05"
"1094LV","MFH_75_91"
"1094EW","MFH_75_91"
"1094SP"," MFH_1964"
"1094EZ","MFH_75_91"
